,method,device1,device2,device3,device4,curvature,$W$,$H$,$L$,$A{_3}$,$A{_1}$,$W$$/$$H$,$A{_2}$$/$$A{_1}$,${\rho}_\mathrm{d}$,${\rho}_\mathrm{c}$,$\mu_\mathrm{d}$,$\mu_\mathrm{c}$,$\gamma$,$\mu_\mathrm{d}$$/$$\mu_\mathrm{c}$,$Q_\mathrm{d}$,$Q_\mathrm{c}$,$u_\mathrm{d}$,$u_\mathrm{c}$,$Q_\mathrm{d}$$/$$Q_\mathrm{c}$,$u_\mathrm{d}$$/$$u_\mathrm{c}$,$\mu_\mathrm{c}$$u_\mathrm{c}$,$d_\mathrm{av}$$/$$d_\mathrm{e}$
28,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,25.0,800.0,0.0207233,0.06960593,0.03125,0.297723197,0.062719833,0.6686093133538075
29,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,25.0,1000.0,0.0207233,0.087007412,0.025,0.238178559,0.07839979,0.630539032166402
30,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,25.0,1200.0,0.0207233,0.104408895,0.020833333,0.198482131,0.094079749,0.5900893584047837
31,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,25.0,1600.0,0.0207233,0.13921186,0.015625,0.148861598,0.125439665,0.5258457589010371
32,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,50.0,400.0,0.0414466,0.034802965,0.125,1.190892787,0.031359916,0.8756164673103242
33,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,50.0,600.0,0.0414466,0.052204447,0.083333333,0.793928533,0.047039874,0.7851995494902364
34,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,50.0,800.0,0.0414466,0.06960593,0.0625,0.595446394,0.062719833,0.7257147351349155
35,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,50.0,1000.0,0.0414466,0.087007412,0.05,0.476357118,0.07839979,0.6567123504827432
36,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,50.0,1200.0,0.0414466,0.104408895,0.041666667,0.396964262,0.094079749,0.6281596395921891
37,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,50.0,1600.0,0.0414466,0.13921186,0.03125,0.297723197,0.125439665,0.5662954326626554
38,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,100.0,600.0,0.082893199,0.052204447,0.166666667,1.587857046,0.047039874,0.8613401118650472
39,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,100.0,800.0,0.082893199,0.06960593,0.125,1.190892773,0.062719833,0.7899583346386622
40,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,100.0,1000.0,0.082893199,0.087007412,0.1,0.952714224,0.07839979,0.7328529128575539
41,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,100.0,1200.0,0.082893199,0.104408895,0.083333333,0.793928515,0.094079749,0.6924032390959357
42,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,100.0,1600.0,0.082893199,0.13921186,0.0625,0.595446387,0.125439665,0.6234008544437635
43,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,25.0,400.0,0.0207233,0.034802965,0.0625,0.595446394,0.032219019,0.8446843638455573
44,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,25.0,600.0,0.0207233,0.052204447,0.041666667,0.396964266,0.048328528,0.7447498757286182
45,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,25.0,800.0,0.0207233,0.06960593,0.03125,0.297723197,0.064438038,0.6852650613732971
46,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,25.0,1000.0,0.0207233,0.087007412,0.025,0.238178559,0.080547547,0.630539032166402
47,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,25.0,1200.0,0.0207233,0.104408895,0.020833333,0.198482131,0.096657057,0.5853305732563581
48,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,25.0,1600.0,0.0207233,0.13921186,0.015625,0.148861598,0.128876075,0.52822515147525
49,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,50.0,400.0,0.0414466,0.034802965,0.125,1.190892787,0.032219019,0.9041691782008783
50,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,50.0,600.0,0.0414466,0.052204447,0.083333333,0.793928533,0.048328528,0.7994759049355135
51,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,50.0,800.0,0.0414466,0.06960593,0.0625,0.595446394,0.064438038,0.7257147351349155
52,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,50.0,1000.0,0.0414466,0.087007412,0.05,0.476357118,0.080547547,0.6662299207795945
53,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,50.0,1200.0,0.0414466,0.104408895,0.041666667,0.396964262,0.096657057,0.6257802470179763
54,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,50.0,1600.0,0.0414466,0.13921186,0.03125,0.297723197,0.128876075,0.571054217811081
55,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,100.0,600.0,0.082893199,0.052204447,0.166666667,1.587857046,0.048328528,0.8660988970134729
56,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,100.0,800.0,0.082893199,0.06960593,0.125,1.190892773,0.064438038,0.7851995494902364
57,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,100.0,1000.0,0.082893199,0.087007412,0.1,0.952714224,0.080547547,0.7399910905801925
58,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,100.0,1200.0,0.082893199,0.104408895,0.083333333,0.793928515,0.096657057,0.6852650613732971
59,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.925755,5.13,0.642718646,100.0,1600.0,0.082893199,0.13921186,0.0625,0.595446387,0.128876075,0.616262676721125
